Asus Zenfone Max Pro m1	14999	5	With a massive 5000 mAh battery, a powerful Qualcomm Snapdragon 636 processor and an Adreno 509 GPU	2018-07-01	2018-07-13
HP 15q	56000	12	really great product got fast delivery within two days love the performance it's fast and easy to use	2018-07-02	2018-07-14
Lenovo core i5	45999	10	Best configuration in this price range	2018-07-03	2018-07-15
Nikon D5300 DSLR	39999	4	Nikon D5300 DSLR Camera Body with Single Lens: AF-P DX NIKKOR (16 GB SD Card + Camera Bag) (Black)	2018-07-04	2018-07-16
Apple iPad 6th gen	45999	54	Apple iPad (6th Gen) 32 GB 9.7 inch with Wi-Fi Only (Space Grey)	2018-07-05	2018-07-17
Alchemist	325	18	ALCHEMIST (English, Paperback, Paulo Coelho)	2018-07-06	2018-07-18
Rich dad poor dad	426	60	Rich Dad Poor Dad : What the Rich Teach Their Kids About Money - That The Poor And Middle Class Do Not!	2018-07-07	2018-07-19
Alibaba	599	87	Alibaba (English, Paperback / softback, Clark Duncan)	2018-07-08	2018-07-20
Cricket bat	1499	111	Kookaburra kahuna poplar willow tennis bat Poplar Willow Cricket Bat (Short Handle, 1 kg)	2018-07-09	2018-07-21
Table tennis Ball	100	547	Joola Rosskopf Champ Ping Pong Ball (Pack of 6, White)	2018-07-10	2018-07-22
Double bed	15999	12	Perfect Homes by Flipkart Opus Engineered Wood Queen Box Bed (Finish Color - Wenge)	2018-07-11	2018-07-23
Blue chairs 4psc	1500	80	Rajpura Saphire2 with Push back Mechanism in Blue fabric(Blue, Black)	2018-07-12	2018-07-24